,description
934,"Cimarron Coffee Roasters
Kenya Gathaithi AA
|Roaster Location:
|Montrose, Colorado
|Coffee Origin:
|Nyeri growing region, south-central Kenya
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|$14.00/250 grams
|Review Date:
|October 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Rich-toned, complex. Blackberry, dark chocolate, magrut lime leaf, fresh-cut cedar, narcissus in aroma and cup. Balanced, sweetly tart structure with juicy-bright acidity; plush, creamy mouthfeel. The long finish consolidates to blackberry and dark chocolate notes with hints of pink peppercorn.
Notes
Produced by smallholding farmers from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Cimarron Coffee Roasters is a micro-roaster on the Western Slope of Colorado that aims to offer sweet, clean, affordable and sustainable coffee. Roast profiles are developed for each coffee to highlight the inherently distinctive properties of each lot. Visit www.cimarronroasters.com for more information.
Bottom Line
Dark berry and rich chocolate notes characterize this deeply aromatic, balanced cup. Attractive price for such a distinguished Kenya.
Explore Similar Coffees
Click here for more reviews from Cimarron Coffee Roasters
Click here for more information about coffees from Kenya"
935,"|Roaster Location:
|Minneapolis, Minnesota
|Coffee Origin:
|Tha Sae, Chumphon, Thailand
|Roast Level:
|Medium-Light
|Agtron:
|56/70
|Est. Price:
|$16.95/12 ounces
|Review Date:
|January 2021
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|7
Blind Assessment
Sweetly nut-toned. Almond, pie cherry, oak, prairie flowers, baking chocolate in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Gently drying, sweetly nut-toned finish.
Notes
Produced at Panid Choosit Farm entirely from trees of the Robusta species and processed by the washed method (fruit skin and flesh are removed before drying). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.
Bottom Line
An especially sweet specialty Robusta cup from coffee sourced by Miguel Meza during a research trip to Thailand in search of quality non-Arabica coffees.
Explore Similar Coffees
Click here for more reviews from Paradise Roasters
Click here for more information about coffees from Thailand"
936,"|Roaster Location:
|Tainan City, Taiwan
|Coffee Origin:
|Antigua, Guatemala
|Roast Level:
|Light
|Agtron:
|72/99
|Est. Price:
|NT$ 370/225 grams
|Review Date:
|November 2023
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Richly sweet, nut-toned. Hazelnut, caramel, orange zest, freesia, fir in aroma and cup. Sweet structure with brisk acidity; full, syrupy mouthfeel. Finish consolidates to notes of hazelnut and orange zest.
Notes
Produced at Finca Medina and processed by the traditional washed method (fruit skin and pulp removed before drying). Satur Specialty Coffee is a farm-to-cup roastery, coffee shop, and SCA training center. Visit www.satur.com.tw for more information.
Bottom Line
A comfortingly familiar, sweetly nutty Guatemala cup with undertones of caramel and spice-toned florals.
Explore Similar Coffees
Click here for more reviews from Satur Specialty Coffee
Click here for more information about coffees from Guatemala"
937,"|Roaster Location:
|Taichung, Taiwan
|Coffee Origin:
|Bench-Maji Zone, Southern Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|60/77
|Est. Price:
|NT $310/227 grams
|Review Date:
|August 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Complexly fruit-toned, sweetly fermenty. Star jasmine, strawberry, cocoa nib, bay leaf, wine barrel in aroma and cup. Juicy-bright acidity; plush, syrupy mouthfeel. The resonant finish centers around notes of cocoa-toned strawberry and a hint of wine barrel.
Notes
Produced in the Bench-Maji Zone of southern Ethiopia, entirely of the Gesha variety of Arabica, and processed by the natural method (dried in the whole fruit). Lee Dong Coffee is a specialty coffee roaster and cafe in Taichung, Taiwan. Visit www.facebook.com/LiDongcoffee/ for more information.
Bottom Line
A gently and intentionally fermenty Ethiopia Gesha with floral and berry notes at its heart, supported by crisp cocoa nib tones.
Explore Similar Coffees
Click here for more reviews from Lee Dong Coffee
Click here for more information about coffees from Ethiopia"
938,"ILSE Coffee Roasters
Kenya Ichuga AA
|Roaster Location:
|North Canaan, Connecticut
|Coffee Origin:
|Nyeri County, Kenya
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|$23.50/12 ounces
|Review Date:
|October 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Balanced, vibrant, juicy. Black currant, narcissus, toffee, cedar, pink grapefruit zest in aroma and cup. Sweet-toned structure with vivacious, sparkling acidity; crisp, velvety mouthfeel. The finish consolidates to toffee and cedar.
Notes
Produced by smallholding members of the Kiama Farmers Cooperative Society from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried) at the Ichuga wet mill. ILSE Coffee is an ingredient-driven roaster currently building a new roastery and café in North Canaan, Connecticut. Visit www.ilsecoffee.com for more information.
Bottom Line
A classic Kenya cup: sweet, savory, bright, juicy, expressing equal parts fruit and flowers.
Explore Similar Coffees
Click here for more reviews from ILSE Coffee Roasters
Click here for more information about coffees from Kenya
This review originally appeared in the October, 2022 tasting report: Classic Origins, Mission-Driven Companies: 9 Roasters New to Coffee Review"
939,"Mr. Espresso
Guatemala CODECH Women’s Lot
|Roaster Location:
|Oakland, California
|Coffee Origin:
|Concepción Huista, Huehuetenango Department, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|54/74
|Est. Price:
|$15.00/12 ounces
|Review Date:
|November 2021
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|8
|Aftertaste:
|8
Blind Assessment
Rich-toned, sweetly nutty. Almond butter, baking chocolate, date, magnolia, cedar in aroma and cup. Sweet structure with gently brisk acidity; full, satiny mouthfeel. The finish is nut-driven with undertones of baking chocolate and cedar.
Notes
Produced by smallholding members of CODECH (Coordinadora de Organizaciones de Desarrollo Concepción Huista), founded to promote socio-economic development for the local community. Mr. Espresso is a San Francisco Bay Area wholesale roaster and espresso parts distributor that slow-roasts its coffees using traditional wood-fired roasting machines. Visit www.mrespresso.com or call 510-287-5200 for more information.
Bottom Line
Produced by women farmers. A balanced, richly nut-toned Guatemala cup — sweet, deep, friendly, affordable.
Explore Similar Coffees
Click here for more reviews from Mr. Espresso
Click here for more information about coffees from Guatemala"
940,"|Roaster Location:
|Holualoa, Hawai’i
|Coffee Origin:
|Holualoa, North Kona growing district, “Big Island” of Hawai’i
|Roast Level:
|Medium-Light
|Agtron:
|58/78
|Est. Price:
|$54.95/8 ounces
|Review Date:
|August 2022
|Aroma:
|10
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|10
|Aftertaste:
|9
Blind Assessment
Deep-toned, complexly layered, vibrantly aromatic. Black cherry, honeysuckle, cocoa nib, sugar cane, lemon balm in aroma and cup. Richly bittersweet structure with tart, juicy acidity; crisp, satiny mouthfeel. Very long, nuanced, resonant finish.
Notes
This exceptional coffee was selected as the No. 17 coffee on Coffee Review’s list of the Top 30 Coffees of 2022. Produced entirely from trees of the Red Bourbon variety of Arabica and grown on Hula Daddy’s higher elevation farm; processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). This presentation of the coffee is named for co-owner Karen Paterson, whose middle name is Jue and whose favorite coffee is the Red Bourbon. Hula Daddy is a boutique coffee producer with farms at the 1,400 and 2,500-foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. Visit www.huladaddy.com or call 888-553-2339 for more information.
Bottom Line
This classic Kona coffee unfolds over time to reveal intriguing complexity, exciting vibrancy, and deep, harmonious balance.
Explore Similar Coffees
Click here for more reviews from Hula Daddy Kona Coffee
Click here for more information about coffees from Hawaii"
941,"Home in Harmony
Ethiopia Buku Abela
|Roaster Location:
|New Taipei City, Taiwan
|Coffee Origin:
|Guji Zone, Oromia Region, Hambela Woreda, Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|NT $350/227 grams
|Review Date:
|July 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Cleanly fruit-toned, delicately sweet-tart. Raspberry, bergamot, cocoa nib, honey, lemon verbena in aroma and cup. Sweetly tart structure with delicate, buoyant mouthfeel; crisp, fruit-forward finish.
Notes
Guji is a coffee-growing region nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions. Guji coffees are largely produced from distinctive landrace varieties of Arabica long grown there. Processed by the washed method. Home in Harmony coffees are created by HiH Lifestyle Co., a coffee roaster tailored to retail, wholesale and commercial coffee solutions. Visit www.hih2020.com or email [email protected].
Bottom Line
A fruit-driven, sweetly herbaceous wash-processed Ethiopia cup: delicate, bright, juicy.
Explore Similar Coffees
Click here for more reviews from Home in Harmony
Click here for more information about coffees from Ethiopia"
942,"|Roaster Location:
|San Diego, Calfornia
|Coffee Origin:
|Benguet Province, The Philippines
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|$26.50/6 ounces
|Review Date:
|June 2022
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Fruit-toned, sweetly herbaceous. Goji berry, lemon verbena, cedar, baking chocolate, malt in aroma and cup. Sweet-toned with gentle acidity; full, syrupy mouthfeel. Quietly chocolaty finish with citrus undertones.
Notes
Produced by Kalsada Coffee,from trees of the Typica and Bourbon varieties of Arabica, and processed by the anaerobic washed method (the fermentation step takes place in a hermetically sealed vessel). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.
Bottom Line
An attractive anaerobically processed Philppines cup with an especially viscous, syrupy mouthfeel.
Explore Similar Coffees
Click here for more reviews from Mostra Coffee"
943,"|Roaster Location:
|Manlius, New York
|Coffee Origin:
|Sidamo (also Sidama) growing region, south-central Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$20.00/12 ounces
|Review Date:
|March 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Complex, richly sweet-tart. Nectarine, Meyer lemon zest, cocoa nib, nougat, lilac in aroma and cup. Sweet-tart structure with juicy, balanced acidity; delicate, satiny-smooth mouthfeel. The finish consolidates to notes of cocoa nib and Meyer lemon.
Notes
Certified USDA Organic. Produced by 1,000 smallholding farmers organized around the Testi Ayla washing station, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com.
Bottom Line
An elegant stone fruit-driven washed Sidama cup with leading notes of nectarine and citrus and a cocoa-toned throughline.
Explore Similar Coffees
Click here for more reviews from SkyTop Coffee"
944,"|Roaster Location:
|Taipei, Taiwan
|Coffee Origin:
|Las Flores, Marcala, La Paz, Honduras
|Roast Level:
|Medium-Light
|Agtron:
|60/74
|Est. Price:
|NT $459/8 ounces
|Review Date:
|November 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Crisp, balanced, vibrant. Cocoa nib, tea rose, hazelnut, marjoram, red apple in aroma and cup. Sweet structure with gentle acidity; buttery mouthfeel. The nuanced finish leads with notes of cocoa nib and marjoram, supported by red apple.
Notes
Produced by Lennon Diaz of Finca Liquidambar from the Yellow Catuai, Red Catuai, Icatu, Red and Yellow Pache and Pacas Amarillo varieties of Arabica, and processed by the natural method (dried in the whole fruit). Buon Caffe is a specialty coffee roaster and cafe in Taipei, Taiwan. Visit www.buoncaffe.com.tw for more information.
Bottom Line
A quietly confident Honduras natural, harmonious and integrated.
Explore Similar Coffees
Click here for more reviews from Buon Caffe
Click here for more information about coffees from Honduras"
945,"Trident Coffee
Dreadnaught Espresso
|Roaster Location:
|San Diego, California
|Coffee Origin:
|Cajamarca region, Peru
|Roast Level:
|Medium
|Agtron:
|47/61
|Est. Price:
|$17.95/12 ounces
|Review Date:
|July 2022
|Aroma:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Chocolaty, roast-rounded. Cocoa powder, date, salted caramel, gardenia, fresh-cut fir in aroma and small cup. Crisp, velvety mouthfeel; sweet, chocolaty and wood-framed finish. In three parts milk, both chocolate and floral notes bloom, with undertones of date and gardenia.
Notes
Trident’s tagline is “All Ahead. All Together.” Coffees are sold online, in its TapRooms, and in +1200 locations around the country. Visit www.tridentcoffee.com for more information.
Bottom Line
Although described as a blend, this is a solid single-origin espresso from Peru, roasted to medium-dark to emphasize notes of chocolate and caramel.
Explore Similar Coffees
Click here for more reviews from Trident Coffee
Click here for more information about coffees from Peru"
